                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89355,                 3.3145,                 1.3337,                0.00415,                   0.95,                0.30803,                0.21015,                0.87715,                 3.4842,                 1.2508,               0.000125,               0.000125,               0.000125
                      2,                0.85727,                 2.4798,                 1.3408,                0.89965,                0.16667,                0.56326,                0.45634,                0.86845,                 3.1242,                 1.2222,             0.00023651,             0.00023651,             0.00023651
                      3,                 0.8514,                 1.8601,                 1.2995,                0.84734,                0.16667,                0.61703,                0.41771,                 1.0168,                 3.0627,                 1.4576,              0.0003208,              0.0003208,              0.0003208
                      4,                0.83581,                 1.6887,                 1.2627,                0.78708,                0.38312,                0.61143,                0.50294,                 1.0249,                 2.9929,                 1.4282,             0.00037786,             0.00037786,             0.00037786
                      5,                0.82373,                  1.657,                 1.2302,                0.76129,                 0.5067,                0.65088,                0.46056,                 1.2886,                 2.8106,                 1.6458,              0.0004077,              0.0004077,              0.0004077
                      6,                 0.7751,                 1.4545,                 1.2147,                0.74651,                0.47917,                0.68497,                 0.4867,                  1.065,                 2.8051,                  1.455,             0.00041031,             0.00041031,             0.00041031
                      7,                0.69473,                 1.3372,                 1.1461,                0.84323,                0.58637,                0.73135,                0.52846,                 1.3309,                  2.329,                 1.6621,              0.0003857,              0.0003857,              0.0003857
                      8,                0.67418,                 1.2931,                 1.1389,                0.64025,                0.66878,                0.68016,                0.44552,                 1.2442,                 2.3486,                 1.5188,             0.00033386,             0.00033386,             0.00033386
                      9,                0.60758,                 1.1687,                  1.079,                0.86144,                0.58058,                0.67149,                0.57806,                0.94686,                 2.0936,                 1.3356,              0.0002548,              0.0002548,              0.0002548
                     10,                0.60914,                 1.1106,                 1.0541,                 0.7958,                0.63512,                0.70055,                0.57073,                0.99432,                 2.0186,                 1.3438,             0.00013625,             0.00013625,             0.00013625
