                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88366,                 2.9872,                 1.3442,                0.00374,                      1,                0.28637,                0.19465,                0.91815,                 3.8467,                 1.5907,              0.0002625,              0.0002625,              0.0002625
                      2,                0.86797,                  2.174,                 1.3505,                0.77863,                   0.05,                0.46774,                0.37379,                 1.1111,                  3.647,                 1.6927,             0.00051976,             0.00051976,             0.00051976
                      3,                0.93082,                 1.9442,                 1.3839,                0.46472,                0.41861,                0.48049,                0.38828,                 1.4073,                 3.7155,                 2.0377,             0.00075888,             0.00075888,             0.00075888
                      4,                0.90546,                 1.8816,                 1.3526,                0.98167,                0.16667,                0.24045,                0.13816,                 1.5875,                 3.4726,                 2.4241,             0.00097984,             0.00097984,             0.00097984
                      5,                 0.9147,                 1.7556,                 1.3424,                0.76104,                0.47514,                0.46488,                0.25616,                 1.5569,                 5.0856,                  2.828,               0.001085,               0.001085,               0.001085
                      6,                0.99177,                 1.8389,                 1.3912,                0.33062,                0.63705,                0.46873,                 0.2308,                 1.4049,                 4.5753,                 2.4828,              0.0010438,              0.0010438,              0.0010438
                      7,                0.88671,                 1.6407,                 1.3212,                0.27485,                0.62083,                0.27334,                 0.1134,                  1.632,                 5.6467,                 2.3722,              0.0010025,              0.0010025,              0.0010025
                      8,                0.92462,                 1.5554,                 1.3382,                0.45244,                0.57856,                0.52899,                0.20649,                 1.7151,                 3.6549,                  2.574,             0.00096125,             0.00096125,             0.00096125
                      9,                0.87253,                  1.501,                 1.3026,                0.53781,                0.63736,                 0.5089,                0.35235,                 1.4551,                  3.245,                 2.0314,                0.00092,                0.00092,                0.00092
                     10,                0.83515,                 1.4285,                 1.2723,                0.69305,                0.73224,                0.67231,                 0.2913,                 1.2539,                 2.6052,                 1.8397,             0.00087875,             0.00087875,             0.00087875
                     11,                0.88302,                 1.4687,                 1.2873,                 0.5193,                0.68333,                0.55603,                0.24637,                 1.4462,                 4.5028,                 2.1766,              0.0008375,              0.0008375,              0.0008375
