                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91967,                 3.6838,                 3.1149,                 1.2399,                0.00406,                0.91875,                0.33921,                 0.2573,                0.00326,                0.77292,                0.23441,                 0.1774,                0.93792,                 3.5195,                 3.4209,                 1.3583,               0.000125,               0.000125,               0.000125
                      2,                 0.8652,                 2.5215,                 2.4826,                 1.2193,                0.00436,                   0.95,                0.53464,                0.41716,                0.00218,                0.59167,                0.40587,                 0.2315,                0.96137,                 4.8596,                 3.2547,                 1.3119,             0.00024518,             0.00024518,             0.00024518
                      3,                0.88535,                 2.1358,                 1.7256,                 1.2104,                0.63642,                0.51667,                0.48196,                0.38376,                0.60803,                0.46667,                0.46026,                0.32265,                 1.1716,                 2.9497,                 2.9454,                 1.5294,              0.0003472,              0.0003472,              0.0003472
                      4,                0.87056,                 1.9784,                 1.5016,                 1.1951,                0.72696,                0.43333,                  0.611,                0.40932,                0.68773,                0.33333,                0.46973,                0.32551,                 1.2024,                 4.5668,                   3.15,                  1.748,             0.00043108,             0.00043108,             0.00043108
                      5,                0.86328,                 1.9621,                 1.4686,                 1.1888,                0.80209,                0.51667,                0.59142,                0.45624,                0.68721,                0.46667,                0.52639,                0.34125,                0.99455,                 3.4743,                 2.9326,                 1.4382,              0.0004968,              0.0004968,              0.0004968
                      6,                0.88161,                 1.8519,                 1.9555,                 1.2797,                0.65309,                0.35529,                0.56803,                0.38257,                0.60165,                0.25686,                0.47785,                0.18043,                 1.2815,                 3.9751,                 2.9356,                 1.6359,             0.00054438,             0.00054438,             0.00054438
                      7,                0.77603,                 1.6793,                 1.5083,                 1.2173,                0.45757,                0.62305,                0.59925,                0.45592,                0.45436,                 0.6043,                0.59165,                0.33649,                 1.1762,                 3.4561,                 2.7465,                 1.5083,              0.0005738,              0.0005738,              0.0005738
                      8,                0.73314,                 1.6084,                    1.4,                 1.1531,                0.70176,                0.61306,                0.63203,                0.44604,                0.70176,                0.61306,                0.62417,                0.36231,                 1.1118,                 3.2692,                 2.5787,                 1.4934,             0.00058508,             0.00058508,             0.00058508
                      9,                0.75895,                 1.6071,                 1.3476,                 1.1509,                0.86246,                0.47677,                0.60816,                 0.4152,                0.86246,                0.47677,                0.53099,                0.32628,                  1.275,                 3.4717,                 2.7289,                 1.7303,              0.0005782,              0.0005782,              0.0005782
                     10,                0.74466,                 1.5455,                 1.3054,                 1.1479,                0.82015,                0.60417,                0.75386,                 0.5679,                0.61097,                0.71455,                0.72894,                0.45543,                 1.0719,                 3.0857,                 2.1723,                 1.5468,              0.0005075,              0.0005075,              0.0005075
                     11,                0.69579,                 1.5147,                  1.227,                 1.1095,                0.96821,                0.50353,                0.66029,                0.45179,                0.96821,                0.50353,                0.64392,                0.40431,                 1.2986,                  3.329,                 2.4311,                 1.6585,               0.000425,               0.000425,               0.000425
                     12,                0.68555,                  1.371,                 1.2073,                 1.1038,                0.80455,                0.51691,                0.67197,                0.45228,                0.86493,                 0.5479,                0.67353,                0.42564,                 1.2511,                 2.7602,                 2.1814,                 1.6115,              0.0003425,              0.0003425,              0.0003425
                     13,                0.59313,                 1.2888,                 1.0725,                 1.0715,                0.67626,                0.68542,                 0.7293,                0.49508,                0.67626,                0.68542,                0.71814,                0.46562,                 1.1776,                 2.3049,                 2.0709,                 1.5971,                0.00026,                0.00026,                0.00026
                     14,                0.58866,                 1.2665,                 1.0408,                 1.0378,                0.79135,                0.72096,                0.75043,                0.56141,                 0.8401,                0.65417,                0.68083,                0.50273,                 1.1864,                 2.4136,                 1.9376,                 1.6119,              0.0001775,              0.0001775,              0.0001775
                     15,                0.53904,                  1.158,                0.99543,                 1.0152,                0.84387,                 0.6942,                0.76767,                0.56854,                0.82848,                 0.6745,                0.69553,                0.53235,                 1.1673,                 2.5203,                 1.7144,                 1.6389,                9.5e-05,                9.5e-05,                9.5e-05
